    time(1)             time(2)             stran(1)            stran(2)            stran(3)            stran(4)            stran(5)            stran(6)            stress(1)           stress(2)           stress(3)           stress(4)           stress(5)           stress(6)      G                   K                   eta                 D                   I                   Yield               EPSPX               EPSPY               EPSPZ               GAMMAXY             GAMMAXZ             GAMMAYZ             Ni                  Sum_Rate            F1_max              F2_max              Rn_max              F0_last             F0_max         
 0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -40.000000000       -40.000000000       -40.000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 10000.000000        10000.000000       -.25000000000E-03   0.50000000000E-04   0.50000000000E-04    0.0000000000        0.0000000000        0.0000000000       -41.200000000       -40.000000000       -40.000000000        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.2000000001        0.0000000000        100000000.00        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 110000.00000        110000.00000       -.27500000000E-02   0.55000000000E-03   0.55000000000E-03    0.0000000000        0.0000000000        0.0000000000       -53.200000000       -40.000000000       -40.000000000        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.2000000001        0.0000000000        100000000.00        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 210000.00000        210000.00000       -.52500000000E-02   0.10500000000E-02   0.10500000000E-02    0.0000000000        0.0000000000        0.0000000000       -65.200000000       -40.000000000       -40.000000000        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.2000000001        0.0000000000        100000000.00        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 310000.00000        310000.00000       -.77500000000E-02   0.15500000000E-02   0.15500000000E-02    0.0000000000        0.0000000000        0.0000000000       -77.200000000       -40.000000000       -40.000000000        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.2000000001        0.0000000000        100000000.00        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 410000.00000        410000.00000       -.10250000000E-01   0.20500000000E-02   0.20500000000E-02    0.0000000000        0.0000000000        0.0000000000       -89.200000000       -40.000000000       -40.000000000        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.2000000001        0.0000000000        100000000.00        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 510000.00000        510000.00000       -.12750000000E-01   0.25500000000E-02   0.25500000000E-02    0.0000000000        0.0000000000        0.0000000000       -101.20000000       -40.000000000       -40.000000000        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.2000000001        0.0000000000        100000000.00        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 610000.00000        610000.00000       -.15250000000E-01   0.30500000000E-02   0.30500000000E-02    0.0000000000        0.0000000000        0.0000000000       -113.20000000       -40.000000000       -40.000000000        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.2000000001        0.0000000000        100000000.00        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 710000.00000        710000.00000       -.17750000000E-01   0.38323083476E-02   0.38323083476E-02    0.0000000000        0.0000000000        0.0000000000       -120.71826141       -40.000016230       -40.000016230        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.2064407826       -.10734637554E-01    100000000.00        1.0000000000       -.10099370387E-02   0.50741115990E-03   0.50741115990E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.38845851734E-04   0.10640133389E-03   0.50270319175E-05   0.38699852212E-08   0.49049430673E-01   
 810000.00000        810000.00000       -.20250000000E-01   0.50074580624E-02   0.50074580624E-02    0.0000000000        0.0000000000        0.0000000000       -122.29990146       -40.000017711       -40.000017711        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.2204633133       -.34105522018E-01    100000000.00        1.0000000000       -.33392698587E-02   0.16979635874E-02   0.16979635874E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.33733547880E-04   0.27925988606E-03   0.48071388193E-05   0.20518200472E-08   0.45311767986E-01   
