    time(1)             time(2)             stran(1)            stran(2)            stran(3)            stran(4)            stran(5)            stran(6)            stress(1)           stress(2)           stress(3)           stress(4)           stress(5)           stress(6)      G                   K                   eta                 D                   I                   Yield               EPSPX               EPSPY               EPSPZ               GAMMAXY             GAMMAXZ             GAMMAYZ             Ni                  Sum_Rate            F1_max              F2_max              Rn_max              F0_last             F0_max         
 910000.00000        910000.00000       -.22750000000E-01   0.13064608330E-01   0.13064608330E-01    0.0000000000        0.0000000000        0.0000000000       -45.303461372       -9.9999935435       -9.9999935435        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.6218194595       -.70303243258        100000000.00        1.0000000000       -.16405995145E-01   0.12291005012E-01   0.12291005012E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.73502762184E-04   0.22725234174E-05   0.28483009983E-04   0.67413949978E-08   0.30731849986E-01   
 1010000.0000        1010000.0000       -.25250000000E-01   0.15316088332E-01   0.15316088332E-01    0.0000000000        0.0000000000        0.0000000000       -46.478661338       -9.9999911993       -9.9999911993        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.6461829584       -.74363826398        100000000.00        1.0000000000       -.18705855526E-01   0.14537242018E-01   0.14537242018E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.15294932150E-03   0.21043335535E-03   0.21770545428E-04   0.14987904251E-08   0.23349511356E-01   
 1110000.0000        1110000.0000       -.27750000000E-01   0.17688929086E-01   0.17688929086E-01    0.0000000000        0.0000000000        0.0000000000       -47.346843651       -9.9999921632       -9.9999921632        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.6636352124       -.77272535384        100000000.00        1.0000000000       -.21056209225E-01   0.16905401759E-01   0.16905401759E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.20159769889E-04   0.39940806793E-04   0.15354152689E-04   0.14595066489E-07   0.16222217834E-01   
 1210000.0000        1210000.0000       -.30250000000E-01   0.20165723830E-01   0.20165723830E-01    0.0000000000        0.0000000000        0.0000000000       -47.902911744       -9.9999929192       -9.9999929192        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.6745788549       -.79096475810        100000000.00        1.0000000000       -.23459616048E-01   0.19378850551E-01   0.19378850551E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.30926086716E-04   0.40526172690E-04   0.13015397890E-04   0.16508252543E-08   0.92046188761E-02   
 1310000.0000        1310000.0000       -.32750000000E-01   0.22724640147E-01   0.22724640147E-01    0.0000000000        0.0000000000        0.0000000000       -48.158225263       -9.9999929126       -9.9999929126        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.6795437442       -.79923957373        100000000.00        1.0000000000       -.25915080834E-01   0.21936141648E-01   0.21936141648E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.36352303567E-06   0.10527845369E-04   0.11270094587E-04   0.17719443690E-08   0.27795558283E-02   
 1410000.0000        1410000.0000       -.35250000000E-01   0.25340712310E-01   0.25340712310E-01    0.0000000000        0.0000000000        0.0000000000       -48.139740190       -9.9999929094       -9.9999929094        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.6791855287       -.79864254778        100000000.00        1.0000000000       -.28418305749E-01   0.24552330322E-01   0.24552330322E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.11216459377E-04   0.11912647167E-04   0.95676684458E-05   0.16717308426E-07   0.28858669833E-02   
 1510000.0000        1510000.0000       -.37750000000E-01   0.27987866454E-01   0.27987866454E-01    0.0000000000        0.0000000000        0.0000000000       -47.886418532       -9.9999928480       -9.9999928480        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.6742568463       -.79042807721        100000000.00        1.0000000000       -.30962510717E-01   0.27201126481E-01   0.27201126481E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.83250109100E-04   0.72561479229E-04   0.79448841602E-05   0.10559944030E-08   0.76162134566E-02   
 1610000.0000        1610000.0000       -.40250000000E-01   0.30641162248E-01   0.30641162248E-01    0.0000000000        0.0000000000        0.0000000000       -47.443896866       -9.9999928154       -9.9999928154        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.6655582092       -.77593034844        100000000.00        1.0000000000       -.33539490243E-01   0.29857203029E-01   0.29857203029E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.97576459410E-05   0.13959054498E-03   0.11516439031E-04   0.37136445030E-08   0.11368209673E-01   
 1710000.0000        1710000.0000       -.42750000000E-01   0.33278677135E-01   0.33278677135E-01    0.0000000000        0.0000000000        0.0000000000       -46.858904999       -9.9999923543       -9.9999923543        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.6538823546       -.75647059094        100000000.00        1.0000000000       -.36140755521E-01   0.32498203918E-01   0.32498203918E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.97560347228E-04   0.13979812413E-03   0.14399246833E-04   0.13816070066E-07   0.14208070893E-01   
 1810000.0000        1810000.0000       -.45250000000E-01   0.35882651663E-01   0.35882651663E-01    0.0000000000        0.0000000000        0.0000000000       -46.174789588       -9.9999913800       -9.9999913800        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.6399662707       -.73327711779        100000000.00        1.0000000000       -.38758390286E-01   0.35105932918E-01   0.35105932918E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.19861983731E-04   0.40497610215E-04   0.16942136536E-04   0.20100145548E-07   0.16245973725E-01   
 1910000.0000        1910000.0000       -.47750000000E-01   0.38439838510E-01   0.38439838510E-01    0.0000000000        0.0000000000        0.0000000000       -45.428736143       -9.9999914040       -9.9999914040        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.6244584323       -.70743072054        100000000.00        1.0000000000       -.41385717792E-01   0.37666867746E-01   0.37666867746E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.58961865221E-04   0.82893095204E-04   0.18799689036E-04   0.23152281869E-07   0.17492964839E-01   
 2010000.0000        2010000.0000       -.50250000000E-01   0.40941218908E-01   0.40941218908E-01    0.0000000000        0.0000000000        0.0000000000       -44.650726829       -9.9999901100       -9.9999901100        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.6079052326       -.67984205426        100000000.00        1.0000000000       -.44017312949E-01   0.40171701444E-01   0.40171701444E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.24926037206E-04   0.72833010947E-05   0.20122771461E-04   0.37154336496E-07   0.18225049961E-01   
 2110000.0000        2110000.0000       -.52750000000E-01   0.43381366456E-01   0.43381366456E-01    0.0000000000        0.0000000000        0.0000000000       -43.863700161       -9.9999882656       -9.9999882656        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.5907498745       -.65124979083        100000000.00        1.0000000000       -.46649132041E-01   0.42614861212E-01   0.42614861212E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.58162182199E-04   0.84587183970E-04   0.21009420238E-04   0.60666351942E-07   0.18416414396E-01   
 2210000.0000        2210000.0000       -.55250000000E-01   0.45757685558E-01   0.45757685558E-01    0.0000000000        0.0000000000        0.0000000000       -43.084401915       -9.9999882606       -9.9999882606        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.5733410303       -.62223505042        100000000.00        1.0000000000       -.49278314368E-01   0.44993698485E-01   0.44993698485E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.18234752382E-04   0.44327737541E-04   0.21528895537E-04   0.39622975123E-07   0.18337743982E-01   
 2310000.0000        2310000.0000       -.57750000000E-01   0.48069682293E-01   0.48069682293E-01    0.0000000000        0.0000000000        0.0000000000       -42.324509194       -9.9999876705       -9.9999876705        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.5559465159       -.59324419307        100000000.00        1.0000000000       -.51902895324E-01   0.47307678226E-01   0.47307678226E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.24266953574E-04   0.26382772234E-05   0.21677466514E-04   0.40329915407E-07   0.18017704990E-01   
 2410000.0000        2410000.0000       -.60250000000E-01   0.50318340790E-01   0.50318340790E-01    0.0000000000        0.0000000000        0.0000000000       -41.591761462       -9.9999877404       -9.9999877404        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.5387668195       -.56461136564        100000000.00        1.0000000000       -.54521670202E-01   0.49557812963E-01   0.49557812963E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.22859019317E-04   0.46488784271E-04   0.21664747429E-04   0.59044626965E-07   0.17486536960E-01   
 2510000.0000        2510000.0000       -.62750000000E-01   0.52505631245E-01   0.52505631245E-01    0.0000000000        0.0000000000        0.0000000000       -40.890939782       -9.9999880782       -9.9999880782        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.5219487781       -.53658129667        100000000.00        1.0000000000       -.57133937060E-01   0.51746096096E-01   0.51746096096E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.21205703401E-04   0.82289068324E-05   0.21396984594E-04   0.40923122668E-07   0.16883837597E-01   
 2610000.0000        2610000.0000       -.65250000000E-01   0.54634140364E-01   0.54634140364E-01    0.0000000000        0.0000000000        0.0000000000       -40.224679506       -9.9999883487       -9.9999883487        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.5055971953       -.50932865891        100000000.00        1.0000000000       -.59739343969E-01   0.53875124943E-01   0.53875124943E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.22472461911E-04   0.18563544506E-03   0.21249294187E-04   0.38551661419E-07   0.16104369876E-01   
 2710000.0000        2710000.0000       -.67750000000E-01   0.56706807455E-01   0.56706807455E-01    0.0000000000        0.0000000000        0.0000000000       -39.594045513       -9.9999887577       -9.9999887577        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.4897831318       -.48297188637        100000000.00        1.0000000000       -.62337941901E-01   0.55947963486E-01   0.55947963486E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.80553687980E-04   0.34198937747E-04   0.20887240368E-04   0.35134991805E-07   0.15450031317E-01   
 2810000.0000        2810000.0000       -.70250000000E-01   0.58726728477E-01   0.58726728477E-01    0.0000000000        0.0000000000        0.0000000000       -38.999078078       -9.9999896914       -9.9999896914        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.4745534743       -.45758912380        100000000.00        1.0000000000       -.64929849515E-01   0.57967746376E-01   0.57967746376E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.10707564161E-03   0.18596352739E-03   0.19984607126E-04   0.30053211475E-07   0.14629687830E-01   
 2910000.0000        2910000.0000       -.72750000000E-01   0.60697034703E-01   0.60697034703E-01    0.0000000000        0.0000000000        0.0000000000       -38.439092258       -9.9999900575       -9.9999900575        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.4599360177       -.43322669623        100000000.00        1.0000000000       -.67515278415E-01   0.59937625803E-01   0.59937625803E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.17315698763E-04   0.10131882673E-03   0.19522537859E-04   0.30244247995E-07   0.13926312376E-01   
 3010000.0000        3010000.0000       -.75250000000E-01   0.62620808983E-01   0.62620808983E-01    0.0000000000        0.0000000000        0.0000000000       -37.912930722       -9.9999890382       -9.9999890382        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.4459440354       -.40990672570        100000000.00        1.0000000000       -.70094567928E-01   0.61860746228E-01   0.61860746228E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.55776916422E-04   0.69070290735E-04   0.18692292294E-04   0.21363856462E-07   0.13209209266E-01   
 3110000.0000        3110000.0000       -.77750000000E-01   0.64501028104E-01   0.64501028104E-01    0.0000000000        0.0000000000        0.0000000000       -37.419161732       -9.9999890925       -9.9999890925        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.4325801124       -.38763352057        100000000.00        1.0000000000       -.72668091725E-01   0.63740140961E-01   0.63740140961E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.11435313340E-04   0.23296252181E-04   0.18087727970E-04   0.23191763177E-07   0.12517872843E-01   
 3210000.0000        3210000.0000       -.80250000000E-01   0.66340534744E-01   0.66340534744E-01    0.0000000000        0.0000000000        0.0000000000       -36.956191971       -9.9999889167       -9.9999889167        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.4198393157       -.36639885954        100000000.00        1.0000000000       -.75236174472E-01   0.65578656782E-01   0.65578656782E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.97408815297E-04   0.10796645316E-03   0.17244076157E-04   0.19329828405E-07   0.11786275759E-01   
 3310000.0000        3310000.0000       -.82750000000E-01   0.68142020004E-01   0.68142020004E-01    0.0000000000        0.0000000000        0.0000000000       -36.522344639       -9.9999893015       -9.9999893015        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.4077104664       -.34618411065        100000000.00        1.0000000000       -.77799227224E-01   0.67379045783E-01   0.67379045783E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.20418781759E-04   0.10714633685E-04   0.16823466290E-04   0.21837347930E-07   0.11172719957E-01   
 3410000.0000        3410000.0000       -.85250000000E-01   0.69908015331E-01   0.69908015331E-01    0.0000000000        0.0000000000        0.0000000000       -36.115934197       -9.9999892262       -9.9999892262        0.0000000000        0.0000000000        0.0000000000        2000.0000000        2666.6666667        1.3961785742       -.32696429016        100000000.00        1.0000000000       -.80357610591E-01   0.69143865752E-01   0.69143865752E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.80080800160E-05   0.16329157649E-04   0.16017278411E-04   0.10567561048E-07   0.10537775823E-01   
