    time(1)             time(2)             stran(1)            stran(2)            stran(3)            stran(4)            stran(5)            stran(6)            stress(1)           stress(2)           stress(3)           stress(4)           stress(5)           stress(6)      G                   K                   eta                 D                   I                   Yield               EPSPX               EPSPY               EPSPZ               GAMMAXY             GAMMAXZ             GAMMAYZ             Ni                  Sum_Rate            F1_max              F2_max              Rn_max              F0_last             F0_max         
 910000.00000        910000.00000       -.22750000000E-01   0.13452023606E-01   0.13452023606E-01    0.0000000000        0.0000000000        0.0000000000       -36.365767205       -9.9999993365       -9.9999993365        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.4032862390       -.33881039810        100000000.00        1.0000000000       -.22214696022E-01   0.13366518897E-01   0.13366518897E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.12820226907E-04   0.16802339321E-04   0.19931645592E-03   0.20506437437E-07   0.14612196081E-01   
 1010000.0000        1010000.0000       -.25250000000E-01   0.15192584202E-01   0.15192584202E-01    0.0000000000        0.0000000000        0.0000000000       -36.891500906       -9.9999992569       -9.9999992569        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.4180414608       -.36340243458        100000000.00        1.0000000000       -.24706524670E-01   0.15107246717E-01   0.15107246717E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.10797915305E-04   0.26205712246E-04   0.17767172360E-03   0.24941307686E-07   0.13361049066E-01   
 1110000.0000        1110000.0000       -.27750000000E-01   0.16971351283E-01   0.16971351283E-01    0.0000000000        0.0000000000        0.0000000000       -37.373744627       -9.9999992158       -9.9999992158        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.4313383066       -.38556384436        100000000.00        1.0000000000       -.27198929379E-01   0.16886145624E-01   0.16886145624E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.24111504725E-04   0.29776548892E-04   0.15746446220E-03   0.21312263954E-07   0.12107843861E-01   
 1210000.0000        1210000.0000       -.30250000000E-01   0.18785094813E-01   0.18785094813E-01    0.0000000000        0.0000000000        0.0000000000       -37.812162034       -9.9999991289       -9.9999991289        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.4432342312       -.40539038539        100000000.00        1.0000000000       -.29691945413E-01   0.18699991595E-01   0.18699991595E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.52425430390E-04   0.42229282077E-04   0.13883663923E-03   0.12318501774E-07   0.10842125796E-01   
 1310000.0000        1310000.0000       -.32750000000E-01   0.20630565750E-01   0.20630565750E-01    0.0000000000        0.0000000000        0.0000000000       -38.206826959       -9.9999992401       -9.9999992401        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.4537896977       -.42298282926        100000000.00        1.0000000000       -.32185586246E-01   0.20545533046E-01   0.20545533046E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.58014569255E-05   0.17544999306E-04   0.12165119525E-03   0.83788123106E-08   0.96570695668E-02   
 1410000.0000        1410000.0000       -.35250000000E-01   0.22504525889E-01   0.22504525889E-01    0.0000000000        0.0000000000        0.0000000000       -38.558204165       -9.9999992084       -9.9999992084        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.4630677018       -.43844616937        100000000.00        1.0000000000       -.34679878949E-01   0.22419546250E-01   0.22419546250E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.45214257298E-05   0.43441518276E-04   0.10556369459E-03   0.55221249795E-08   0.84853182063E-02   
 1510000.0000        1510000.0000       -.37750000000E-01   0.24403776102E-01   0.24403776102E-01    0.0000000000        0.0000000000        0.0000000000       -38.867116680       -9.9999991872       -9.9999991872        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.4711329474       -.45188824566        100000000.00        1.0000000000       -.37174824898E-01   0.24318834037E-01   0.24318834037E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.34303336811E-05   0.81417196043E-05   0.90509444742E-04   0.14558807493E-08   0.73962779065E-02   
 1610000.0000        1610000.0000       -.40250000000E-01   0.26325182185E-01   0.26325182185E-01    0.0000000000        0.0000000000        0.0000000000       -39.134710373       -9.9999991718       -9.9999991718        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.4780513086       -.46341884770        100000000.00        1.0000000000       -.39670418399E-01   0.26240264635E-01   0.26240264635E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.33477712218E-04   0.30030643519E-04   0.76586669923E-04   0.21525004001E-08   0.63108510320E-02   
 1710000.0000        1710000.0000       -.42750000000E-01   0.28265698211E-01   0.28265698211E-01    0.0000000000        0.0000000000        0.0000000000       -39.362413227       -9.9999991422       -9.9999991422        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.4838892156       -.47314869269        100000000.00        1.0000000000       -.42166649213E-01   0.28180796262E-01   0.28180796262E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.13515423110E-04   0.20582666995E-04   0.63792771816E-04   0.27713547013E-08   0.53013718843E-02   
 1810000.0000        1810000.0000       -.45250000000E-01   0.30222386828E-01   0.30222386828E-01    0.0000000000        0.0000000000        0.0000000000       -39.551891276       -9.9999991289       -9.9999991289        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.4887130725       -.48118845417        100000000.00        1.0000000000       -.44663498339E-01   0.30137493422E-01   0.30137493422E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.26727238989E-04   0.54725217698E-04   0.51931268956E-04   0.68813150733E-08   0.43249339598E-02   
