    time(1)             time(2)             stran(1)            stran(2)            stran(3)            stran(4)            stran(5)            stran(6)            stress(1)           stress(2)           stress(3)           stress(4)           stress(5)           stress(6)      G                   K                   eta                 D                   I                   Yield               EPSPX               EPSPY               EPSPZ               GAMMAXY             GAMMAXZ             GAMMAYZ             Ni                  Sum_Rate            F1_max              F2_max              Rn_max              F0_last             F0_max         
 0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -20.000000000       -20.000000000       -20.000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 10000.000000        10000.000000       -.25000000000E-03   0.50000000000E-04   0.50000000000E-04    0.0000000000        0.0000000000        0.0000000000       -31.160000000       -20.000000000       -20.000000000        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2000000001        0.0000000000        100000000.00        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
 110000.00000        110000.00000       -.27500000000E-02   0.11112644175E-02   0.11112644175E-02    0.0000000000        0.0000000000        0.0000000000       -60.814834857       -20.000007287       -20.000007287        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2145480889       -.24246814875E-01    100000000.00        1.0000000000       -.18444756789E-02   0.93285503053E-03   0.93285503053E-03    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.19058467502E-03   0.31674564215E-03   0.14425079645E-03   0.28780817729E-08   0.31828572281E-01   
 210000.00000        210000.00000       -.52500000000E-02   0.24030591700E-02   0.24030591700E-02    0.0000000000        0.0000000000        0.0000000000       -61.848207266       -20.000007243       -20.000007243        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2326636431       -.54439405020E-01    100000000.00        1.0000000000       -.43319153683E-02   0.22255335021E-02   0.22255335021E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.25758996806E-04   0.33002803910E-04   0.12972737630E-03   0.10872867051E-08   0.29416705966E-01   
 310000.00000        310000.00000       -.77500000000E-02   0.37324767090E-02   0.37324767090E-02    0.0000000000        0.0000000000        0.0000000000       -62.805393161       -20.000007088       -20.000007088        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2491187141       -.81864523282E-01    100000000.00        1.0000000000       -.68199410475E-02   0.35557334600E-02   0.35557334600E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.21880209914E-04   0.49734143836E-04   0.11568610939E-03   0.47812513060E-07   0.26951984269E-01   
 410000.00000        410000.00000       -.10250000000E-01   0.50967273337E-02   0.50967273337E-02    0.0000000000        0.0000000000        0.0000000000       -63.685997608       -20.000006435       -20.000006435        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2639889694       -.10664828202        100000000.00        1.0000000000       -.93086585018E-02   0.49206772523E-02   0.49206772523E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.18316602215E-04   0.41454494955E-04   0.10294310218E-03   0.31004603329E-07   0.24504046616E-01   
 510000.00000        510000.00000       -.12750000000E-01   0.64930080315E-02   0.64930080315E-02    0.0000000000        0.0000000000        0.0000000000       -64.490336848       -20.000006216       -20.000006216        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2773523375       -.12892056248        100000000.00        1.0000000000       -.11798118028E-01   0.63175560550E-02   0.63175560550E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.11780799490E-04   0.54572830507E-04   0.91267001259E-04   0.17965675170E-07   0.22087472687E-01   
 610000.00000        610000.00000       -.15250000000E-01   0.79185278385E-02   0.79185278385E-02    0.0000000000        0.0000000000        0.0000000000       -65.219408580       -20.000006594       -20.000006594        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2892886472       -.14881441207        100000000.00        1.0000000000       -.14288380720E-01   0.77435905979E-02   0.77435905979E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.10586098237E-03   0.14953466427E-03   0.81134825898E-04   0.45301362661E-07   0.19758510945E-01   
 710000.00000        710000.00000       -.17750000000E-01   0.93705323672E-02   0.93705323672E-02    0.0000000000        0.0000000000        0.0000000000       -65.874820414       -20.000006872       -20.000006872        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.2998786890       -.16646448169        100000000.00        1.0000000000       -.16779491609E-01   0.91960399572E-02   0.91960399572E-02    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.25786470523E-03   0.19539615631E-03   0.69810010623E-04   0.35753778604E-07   0.17550624626E-01   
 810000.00000        810000.00000       -.20250000000E-01   0.10846325611E-01   0.10846325611E-01    0.0000000000        0.0000000000        0.0000000000       -66.458721895       -20.000006782       -20.000006782        0.0000000000        0.0000000000        0.0000000000        18600.000000        24800.000000        1.3092034650       -.18200577467        100000000.00        1.0000000000       -.19271472016E-01   0.10672217734E-01   0.10672217734E-01    0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       0.76705738792E-05   0.17139515975E-04   0.61268647984E-04   0.94477677237E-07   0.15576230841E-01   
